"fold","auc","auc_lower","auc_upper"
1,1,1,1
2,0.828571428571429,0.630731878796886,1
3,0.959183673469388,0.874332418917367,1
4,0.952380952380952,0.864981332097677,1
5,0.857142857142857,0.65864958862187,1
