"protein","coef","fold","PROBEID","GENENAME","UNIPROT"
"MCF2L",-0.538495898415865,5,"13934-3","MCF.2 cell line derived transforming sequence like","H7C275"
"QPCTL",-0.489451604967672,5,"8866-53","glutaminyl-peptide cyclotransferase like","Q9NXS2"
"GHRL",-0.483048687782871,3,"23581-131","ghrelin and obestatin prepropeptide","Q9UBU3"
