"PROBEID"
"10013-34"
"10021-1"
"10034-16"
"10416-79"
"10427-2"
"10452-24"
"10461-57"
"10467-58"
"10471-25"
"10476-23"
"10477-162"
"10489-19"
"10491-21"
"10494-48"
"10495-10"
"10497-242"
"10501-3"
"10502-15"
"10503-55"
"10504-6"
"10516-53"
"10518-14"
"10522-167"
"10529-19"
"10533-1"
"10547-42"
"10548-35"
"10593-14"
"10607-4"
"10610-8"
"10622-9"
"10639-1"
"10640-9"
"10645-72"
"10655-43"
"10658-28"
"10659-49"
"10660-33"
"10661-4"
"10665-30"
"10671-67"
"10692-48"
"10701-30"
"10715-5"
"10723-41"
"10724-45"
"10791-21"
"10823-19"
"10837-131"
"10888-4"
"10914-4"
"10927-65"
"10928-7"
"10943-36"
"10962-46"
"11139-4"
"11222-62"
"11230-12"
"11291-73"
"11561-32"
"11860-3"
"11890-2"
"11895-21"
"11912-45"
"11917-8"
"11918-54"
"11919-84"
"11927-3"
"11939-11"
"11986-30"
"11993-227"
"12012-33"
"12590-67"
"12898-5"
"12900-29"
"12906-137"
"12912-25"
"12915-26"
"12921-51"
"12941-24"
"12958-8"
"13021-12"
"13023-8"
"13028-2"
"13389-8"
"13409-9"
"13424-51"
"13455-10"
"13500-9"
"14084-191"
"14228-1"
"14256-4"
"14308-192"
"14605-2"
"14617-7"
"14635-28"
"16535-61"
"2052-1"
"2053-2"
"2054-3"
"2055-4"
"2056-5"
"2057-6"
"2058-7"
"2060-9"
"2061-10"
"2171-12"
"2178-55"
"2194-91"
"2229-54"
"2249-25"
"2273-34"
"2288-7"
"2305-52"
"2312-13"
"2359-65"
"2430-52"
"2513-7"
"3512-72"
"3525-1"
"3525-2"
"3525-3"
"3525-4"
"3650-8"
"3717-23"
"3721-5"
"3724-64"
"3742-78"
"3849-56"
"4584-5"
"4666-193"
"4666-194"
"4666-195"
"4666-199"
"4666-200"
"4666-202"
"4666-205"
"4666-206"
"4666-212"
"4666-213"
"4666-214"
"4666-218"
"4666-219"
"4666-220"
"4666-222"
"4666-223"
"4666-224"
"4666-225"
"4666-230"
"4666-232"
"4666-236"
"4792-51"
"5960-49"
"6037-6"
"6048-4"
"6070-11"
"6102-2"
"6115-40"
"6121-5"
"6277-55"
"6295-67"
"6300-14"
"6340-10"
"6353-60"
"6363-55"
"6365-62"
"6386-4"
"6389-57"
"6401-73"
"6412-26"
"6417-55"
"6419-75"
"6443-68"
"6466-7"
"6522-57"
"6581-50"
"6934-8"
"6967-5"
"7014-27"
"7034-4"
"7057-18"
"7077-9"
"7125-4"
"7136-7"
"7746-230"
"7800-85"
"7801-30"
"7802-53"
"7816-23"
"7817-36"
"7843-152"
"7847-66"
"7872-5"
"7963-36"
"7992-3"
"8015-144"
"8023-23"
"8029-35"
"8031-11"
"8041-5"
"8057-78"
"8072-19"
"8078-15"
"8085-10"
"8228-10"
"8259-25"
"8260-13"
"8271-24"
"8282-15"
"8286-44"
"8290-1"
"8316-36"
"8377-87"
"8381-18"
"8445-184"
"8445-54"
"8449-103"
"8449-124"
"8482-39"
"8483-5"
"8518-55"
"8578-45"
"8595-75"
"8613-97"
"8619-12"
"8634-187"
"8667-42"
"8675-79"
"8752-6"
"8755-202"
"8761-7"
"8769-30"
"8770-136"
"8777-5"
"8783-216"
"8787-21"
"8792-17"
"8793-13"
"8802-24"
"8806-18"
"8808-90"
"8820-2"
"8822-163"
"8824-2"
"8868-4"
"8898-19"
"8944-42"
"8947-268"
"8949-3"
"8964-14"
"8979-1"
"9010-3"
"9023-9"
"9046-46"
"9054-8"
"9063-9"
"9067-152"
"9073-35"
"9080-1"
"9088-20"
"9108-48"
"9122-8"
"9246-1"
"9258-14"
"9281-50"
"9338-2"
"9347-13"
"9353-8"
"9355-26"
"9358-3"
"9362-11"
"9373-405"
"9387-13"
"9389-12"
"9439-454"
"9463-26"
"9467-24"
"9491-13"
"9492-5"
"9493-56"
"9497-3"
"9500-5"
"9508-104"
"9512-24"
"9530-6"
"9535-14"
"9539-25"
"9566-103"
"9584-105"
"9613-16"
"9799-3"
"9804-11"
"9905-8"
"9909-4"
"9917-16"
